Office,Receipt Type,Bank Account,Total Amount,Month,Year
BKKBB,BTR,HSBC,1255934323.19,Apr,2022
BKKBB,BTR,BAY,76709751.19,Apr,2022
BKKBB,CHQ,HSBC,245744452.62,Apr,2022
BKKBB,CHQ,BAY,451467535.43,Apr,2022
BKKBB,CSH,BAY,2340809.2,Apr,2022
BKKBB,e-payment,HSBC,82311111.35,Apr,2022
LCBBB,BTR,BAY,92662959.29,Apr,2022
LCBBB,CHQ,BAY,7486777.45,Apr,2022
LCBBB,CSH,BAY,516464.2,Apr,2022
SGZBB,BTR,BAY,26120759.57,Apr,2022
BKKBB,BTR,HSBC,1239765315.14,May,2022
BKKBB,BTR,BAY,94286068.51,May,2022
BKKBB,CHQ,HSBC,278247742.51,May,2022
BKKBB,CHQ,BAY,458492633.07,May,2022
BKKBB,CSH,BAY,3283219.03,May,2022
BKKBB,e-payment,HSBC,119874458.26,May,2022
LCBBB,BTR,BAY,111538938.65,May,2022
LCBBB,CHQ,BAY,9919009.23,May,2022
LCBBB,CSH,BAY,381004.89,May,2022
SGZBB,BTR,BAY,24298443.75,May,2022
